All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_004154955.1
# contigs (>= 0 bp)         1              
# contigs (>= 1000 bp)      1              
# contigs (>= 5000 bp)      1              
# contigs (>= 10000 bp)     1              
# contigs (>= 25000 bp)     1              
# contigs (>= 50000 bp)     1              
Total length (>= 0 bp)      3224506        
Total length (>= 1000 bp)   3224506        
Total length (>= 5000 bp)   3224506        
Total length (>= 10000 bp)  3224506        
Total length (>= 25000 bp)  3224506        
Total length (>= 50000 bp)  3224506        
# contigs                   1              
Largest contig              3224506        
Total length                3224506        
GC (%)                      59.51          
N50                         3224506        
N90                         3224506        
auN                         3224506.0      
L50                         1              
L90                         1              
# N's per 100 kbp           0.00           
