ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
757426356	757426356	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	100.000000	2608	2608	2606	0.999233	0.400000	0.500000
757426356	445509998	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Candidatus_Enterenecus_avicola__GCA_018715985.1.fna	65.616465	2608	1644	911	0.428504	0.400000	0.500000
757426356	375308717	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Vermiculatibacterium_agrestimuris__GCA_943193085.1.fna	66.816608	2608	2041	1138	0.489568	0.400000	0.500000
757426356	879213431	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudo.fna	67.904970	2608	2662	1318	0.500190	0.400000	0.500000
757426356	962599507	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Intestinimonas_aquisgranensis__GCA_020687605.1.fna	69.032863	2608	3690	1558	0.494760	0.400000	0.500000
757426356	777054284	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Intestinimonas_butyriciproducens__GCF_004154955.1.fna	68.987785	2608	3210	1445	0.496734	0.400000	0.500000
757426356	62447427	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Lawsonibacter_hominis__GCF_014287895.1.fna	74.915871	2608	3421	1613	0.535080	0.400000	0.500000
757426356	737689888	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudoflavonifractor_hominis__GCF_014288125.1.fna	70.540294	2608	2966	1463	0.524937	0.400000	0.500000
757426356	551281437	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudoflavonifractor_gallinarum__GCA_014982855.1.fna	70.413246	2608	3113	1491	0.521238	0.400000	0.500000
757426356	979936460	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudoflavonifractor_intestinihominis__GCA_040096055.1.fna	70.204740	2608	3380	1498	0.500334	0.400000	0.500000
