ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
757426356	879213431	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudo.fna	67.904970	2608	2662	1318	0.500190	0.400000	0.500000
757426356	737689888	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudoflavonifractor_hominis__GCF_014288125.1.fna	70.540294	2608	2966	1463	0.524937	0.400000	0.500000
757426356	551281437	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudoflavonifractor_gallinarum__GCA_014982855.1.fna	70.413246	2608	3113	1491	0.521238	0.400000	0.500000
757426356	979936460	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudoflavonifractor_intestinihominis__GCA_040096055.1.fna	70.204740	2608	3380	1498	0.500334	0.400000	0.500000
757426356	946574880	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	Pseudoflavonifractor_capillosus_ATCC_29799__GCA_000169255.2.fna	70.109617	2608	4007	1487	0.449584	0.400000	0.500000
445509998	879213431	Candidatus_Enterenecus_avicola__GCA_018715985.1.fna	Pseudo.fna	63.730903	1644	2662	864	0.401301	0.400000	0.500000
445509998	737689888	Candidatus_Enterenecus_avicola__GCA_018715985.1.fna	Pseudoflavonifractor_hominis__GCF_014288125.1.fna	64.680162	1644	2966	925	0.401302	0.400000	0.500000
445509998	551281437	Candidatus_Enterenecus_avicola__GCA_018715985.1.fna	Pseudoflavonifractor_gallinarum__GCA_014982855.1.fna	64.896602	1644	3113	927	0.389741	0.400000	0.500000
445509998	979936460	Candidatus_Enterenecus_avicola__GCA_018715985.1.fna	Pseudoflavonifractor_intestinihominis__GCA_040096055.1.fna	65.132726	1644	3380	961	0.382564	0.400000	0.500000
445509998	946574880	Candidatus_Enterenecus_avicola__GCA_018715985.1.fna	Pseudoflavonifractor_capillosus_ATCC_29799__GCA_000169255.2.fna	64.940093	1644	4007	969	0.342948	0.400000	0.500000
375308717	879213431	Vermiculatibacterium_agrestimuris__GCA_943193085.1.fna	Pseudo.fna	74.109025	2041	2662	1302	0.553689	0.400000	0.500000
375308717	737689888	Vermiculatibacterium_agrestimuris__GCA_943193085.1.fna	Pseudoflavonifractor_hominis__GCF_014288125.1.fna	65.572294	2041	2966	1155	0.461354	0.400000	0.500000
375308717	551281437	Vermiculatibacterium_agrestimuris__GCA_943193085.1.fna	Pseudoflavonifractor_gallinarum__GCA_014982855.1.fna	65.196807	2041	3113	1190	0.461777	0.400000	0.500000
375308717	979936460	Vermiculatibacterium_agrestimuris__GCA_943193085.1.fna	Pseudoflavonifractor_intestinihominis__GCA_040096055.1.fna	65.907922	2041	3380	1174	0.433130	0.400000	0.500000
375308717	946574880	Vermiculatibacterium_agrestimuris__GCA_943193085.1.fna	Pseudoflavonifractor_capillosus_ATCC_29799__GCA_000169255.2.fna	65.997504	2041	4007	1162	0.384259	0.400000	0.500000
879213431	757426356	Pseudo.fna	Candidatus_Flavonifractor_avistercoris__GCA_019119085.1.fna	67.904970	2662	2608	1318	0.500190	0.400000	0.500000
879213431	445509998	Pseudo.fna	Candidatus_Enterenecus_avicola__GCA_018715985.1.fna	63.730903	2662	1644	864	0.401301	0.400000	0.500000
879213431	375308717	Pseudo.fna	Vermiculatibacterium_agrestimuris__GCA_943193085.1.fna	74.109025	2662	2041	1302	0.553689	0.400000	0.500000
879213431	879213431	Pseudo.fna	Pseudo.fna	100.000000	2662	2662	2623	0.985349	0.400000	0.500000
879213431	962599507	Pseudo.fna	Intestinimonas_aquisgranensis__GCA_020687605.1.fna	68.635941	2662	3690	1515	0.477015	0.400000	0.500000
879213431	777054284	Pseudo.fna	Intestinimonas_butyriciproducens__GCF_004154955.1.fna	67.143076	2662	3210	1401	0.477180	0.400000	0.500000
879213431	62447427	Pseudo.fna	Lawsonibacter_hominis__GCF_014287895.1.fna	70.624361	2662	3421	1566	0.514878	0.400000	0.500000
879213431	737689888	Pseudo.fna	Pseudoflavonifractor_hominis__GCF_014288125.1.fna	67.037814	2662	2966	1354	0.481166	0.400000	0.500000
879213431	551281437	Pseudo.fna	Pseudoflavonifractor_gallinarum__GCA_014982855.1.fna	67.976093	2662	3113	1441	0.499048	0.400000	0.500000
879213431	979936460	Pseudo.fna	Pseudoflavonifractor_intestinihominis__GCA_040096055.1.fna	67.398536	2662	3380	1400	0.463423	0.400000	0.500000
879213431	988925773	Pseudo.fna	Intestinimonas_butyriciproducens__GCA_003096335.1.fna	67.157690	2662	3207	1398	0.476401	0.400000	0.500000
879213431	409004637	Pseudo.fna	Lawsonibacter_faecis__GCF_014287675.1.fna	67.142089	2662	3566	1422	0.456647	0.400000	0.500000
879213431	946574880	Pseudo.fna	Pseudoflavonifractor_capillosus_ATCC_29799__GCA_000169255.2.fna	69.279175	2662	4007	1491	0.447143	0.400000	0.500000
879213431	228710848	Pseudo.fna	Flintibacter_porci__GCF_041925195.1.fna	66.743320	2662	3309	1280	0.428739	0.400000	0.500000
879213431	805985537	Pseudo.fna	Flavonifractor_porci__GCF_037572415.1.fna	67.923466	2662	3255	1402	0.473889	0.400000	0.500000
879213431	142380147	Pseudo.fna	Flavonifractor_plautii_DSM_6740__GCA_004345805.1.fna	67.678361	2662	4381	1525	0.433054	0.400000	0.500000
