#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1568	1828	+	NAPDKL_00010	9.7	9.8		
contig_1	3718	4098	+	NAPDKL_00025	14.3	9.8		
contig_1	4099	4353	+	NAPDKL_00030	8.9	7.8		
contig_1	6556	6903	+	NAPDKL_00035	13.2	5.5		SO:0001217, UniRef:UniRef50_UPI00189A4FAA, UniRef:UniRef90_UPI00189A4FAA
contig_1	7041	7763	+	NAPDKL_00040	27.3	4.6		SO:0001217, UniRef:UniRef50_UPI001898EF10, UniRef:UniRef90_UPI001898EF10
contig_1	7708	8091	+	NAPDKL_00045	14.3	4.1		
contig_1	8332	8856	+	NAPDKL_00050	19.5	5.2		SO:0001217, UniRef:UniRef50_UPI0018988518
contig_1	9105	9389	+	NAPDKL_00055	11.0	4.4		
contig_1	9444	9653	+	NAPDKL_00060	7.9	5.7		SO:0001217, UniRef:UniRef50_UPI0018970898, UniRef:UniRef90_UPI0018970898
contig_1	14898	15092	+	NAPDKL_00085	7.2	6.5		
contig_1	15428	17008	-	NAPDKL_00090	60.6	6.2		SO:0001217, UniRef:UniRef50_A0A096B3D3
contig_1	17178	17519	-	NAPDKL_00095	13.5	4.8		
contig_1	31084	31752	-	NAPDKL_00150	24.7	4.3		SO:0001217, UniRef:UniRef50_A0A096B656, UniRef:UniRef90_A0A096B656
contig_1	32617	33060	-	NAPDKL_00160	16.5	4.4		SO:0001217, UniRef:UniRef50_R9M9S0, UniRef:UniRef90_A0A096B4Z1
contig_1	34493	35596	-	NAPDKL_00175	41.3	4.7		SO:0001217, UniRef:UniRef50_A0A096B5X5, UniRef:UniRef90_A0A096B5X5
contig_1	41416	42003	-	NAPDKL_00205	22.8	5.4		SO:0001217, UniRef:UniRef50_R9M8T4, UniRef:UniRef90_A0A096DA91
contig_1	57921	58553	-	NAPDKL_00280	24.2	7.0		RefSeq:WP_024722885.1, SO:0001217, UniParc:UPI000464B6AA, UniRef:UniRef100_UPI000464B6AA, UniRef:UniRef50_A0A096B4W8, UniRef:UniRef90_UPI00189C34E4
contig_1	62154	62720	-	NAPDKL_00310	21.8	5.6		SO:0001217, UniRef:UniRef50_A0A096B629, UniRef:UniRef90_A0A096B629
contig_1	63996	64307	-	NAPDKL_00320	11.6	4.8		RefSeq:WP_044942020.1, SO:0001217, UniParc:UPI0005070DFE, UniRef:UniRef100_A0A096DA73, UniRef:UniRef50_A0A096DA73, UniRef:UniRef90_A0A096DA73
contig_1	66374	67141	-	NAPDKL_00335	28.7	4.9		SO:0001217, UniRef:UniRef50_A0A096B623, UniRef:UniRef90_A0A096B623
contig_1	69516	70220	-	NAPDKL_00350	27.1	8.8		RefSeq:WP_108979406.1, SO:0001217, UniParc:UPI000D2EA0C1, UniRef:UniRef100_UPI000D2EA0C1, UniRef:UniRef50_A0A096B4V5, UniRef:UniRef90_A0A096B4V5
contig_1	112168	112431	-	NAPDKL_00545	10.0	4.1		
contig_1	112974	113093	+	NAPDKL_00550	4.6	4.4		
contig_1	116052	116309	+	NAPDKL_00565	9.5	4.9		SO:0001217, UniRef:UniRef50_UPI0023F2EA30, UniRef:UniRef90_UPI0023F2EA30
contig_1	116370	116741	+	NAPDKL_00570	12.9	5.2		SO:0001217, UniRef:UniRef50_UPI0023EFFD6B, UniRef:UniRef90_UPI0023EFFD6B
contig_1	116819	117058	+	NAPDKL_00575	9.0	9.3		SO:0001217, UniParc:UPI000D2A17E4, UniRef:UniRef100_UPI000D2A17E4, UniRef:UniRef50_UPI000AD8EC9A, UniRef:UniRef90_UPI000AD8EC9A
contig_1	137800	139200	+	NAPDKL_00670	50.7	4.2		SO:0001217, UniParc:UPI000D2B6DF4, UniRef:UniRef100_UPI000D2B6DF4, UniRef:UniRef50_UPI002659B392, UniRef:UniRef90_UPI002659B392
contig_1	149162	149419	+	NAPDKL_00720	9.2	11.1		RefSeq:WP_050625099.1, SO:0001217, UniParc:UPI00067E834E, UniRef:UniRef100_UPI00067E834E, UniRef:UniRef50_UPI0023EFD94C, UniRef:UniRef90_UPI0023EFD94C
contig_1	152966	153229	+	NAPDKL_00745	9.9	4.9		SO:0001217, UniParc:UPI000D28F7B7, UniRef:UniRef100_UPI000D28F7B7, UniRef:UniRef50_UPI000D28F7B7, UniRef:UniRef90_UPI000D28F7B7
contig_1	157255	157386	+	NAPDKL_00765	5.1	4.6		SO:0001217, UniRef:UniRef50_UPI00266F278D, UniRef:UniRef90_UPI00266F278D
contig_1	158487	158930	-	NAPDKL_00780	16.7	5.7		RefSeq:WP_050625106.1, SO:0001217, UniParc:UPI00067F2F93, UniRef:UniRef100_UPI00067F2F93, UniRef:UniRef50_A0A4P6M3T0, UniRef:UniRef90_UPI0026DAA6CE
contig_1	167383	167934	+	NAPDKL_00825	20.0	9.7		RefSeq:WP_050625115.1, SO:0001217, UniParc:UPI00067ECCC3, UniRef:UniRef100_UPI00067ECCC3, UniRef:UniRef50_UPI00067ECCC3, UniRef:UniRef90_UPI00067ECCC3
contig_1	204391	204879	-	NAPDKL_01015	17.5	4.1		SO:0001217, UniRef:UniRef50_UPI00067F0C4A, UniRef:UniRef90_UPI00067F0C4A
contig_1	207926	208279	+	NAPDKL_01030	13.1	5.6		RefSeq:WP_108979484.1, SO:0001217, UniParc:UPI000D2C0121, UniRef:UniRef100_UPI000D2C0121, UniRef:UniRef50_UPI00067EFD40, UniRef:UniRef90_UPI00067EFD40
contig_1	210103	210732	-	NAPDKL_01040	22.4	4.1		RefSeq:WP_050625153.1, SO:0001217, UniParc:UPI00067E7744, UniRef:UniRef100_UPI00067E7744, UniRef:UniRef50_UPI00067E7744, UniRef:UniRef90_UPI00067E7744
contig_1	210950	211804	+	NAPDKL_01045	31.4	5.0		SO:0001217, UniRef:UniRef50_UPI00266FAE11, UniRef:UniRef90_UPI00266FAE11
contig_1	215117	216139	-	NAPDKL_01065	37.6	4.5		SO:0001217, UniParc:UPI000D2C0E78, UniRef:UniRef100_UPI000D2C0E78, UniRef:UniRef50_UPI0026DAD332, UniRef:UniRef90_UPI0026DAD332
contig_1	227074	227517	+	NAPDKL_01120	16.0	5.5		RefSeq:WP_133248248.1, SO:0001217, UniParc:UPI000AB7D3D3, UniRef:UniRef100_UPI000AB7D3D3, UniRef:UniRef50_UPI000AB7D3D3, UniRef:UniRef90_UPI000AB7D3D3
contig_1	233353	233613	-	NAPDKL_01145	9.6	5.2	PF21757.1|DUF6870	PFAM:PF21757.1, RefSeq:WP_009296117.1, SO:0001217, UniParc:UPI000231F46E, UniRef:UniRef100_UPI000231F46E, UniRef:UniRef50_D9R220, UniRef:UniRef90_A0A1C7FRC7
contig_1	239341	239931	+	NAPDKL_01175	23.4	8.2		RefSeq:WP_009296108.1, SO:0001217, UniParc:UPI000231F465, UniRef:UniRef100_UPI000231F465, UniRef:UniRef50_A0A8J6JHL8, UniRef:UniRef90_A0A8J6JHL8
contig_1	241801	241977	-	NAPDKL_01200	6.6	10.2		RefSeq:WP_009296103.1, SO:0001217, UniParc:UPI000231F460, UniRef:UniRef100_UPI000231F460, UniRef:UniRef50_A0A1I0JLD0, UniRef:UniRef90_UPI000231F460
contig_1	263232	263588	-	NAPDKL_01305	13.4	4.8	PF21757.1|DUF6870	PFAM:PF21757.1, SO:0001217, UniRef:UniRef50_UPI002109426C, UniRef:UniRef90_UPI002109426C
contig_1	264998	265759	-	NAPDKL_01315	27.2	4.1		RefSeq:WP_050625214.1, SO:0001217, UniParc:UPI00067E6F6F, UniRef:UniRef100_UPI00067E6F6F, UniRef:UniRef50_UPI002659B42F, UniRef:UniRef90_UPI002659B42F
contig_1	339992	340624	+	NAPDKL_01660	22.5	4.3		SO:0001217, UniParc:UPI000D2CE8F6, UniRef:UniRef100_UPI000D2CE8F6, UniRef:UniRef50_UPI0023F7F8DF, UniRef:UniRef90_UPI0023F7F8DF
contig_1	346288	346437	-	NAPDKL_01690	5.7	9.5		
contig_1	346549	347322	-	NAPDKL_01695	27.5	4.5		SO:0001217, UniRef:UniRef50_UPI0023F068F9, UniRef:UniRef90_UPI0023F068F9
contig_1	349643	349804	+	NAPDKL_01715	6.0	6.5		
contig_1	351370	351873	-	NAPDKL_01735	19.4	9.0		RefSeq:WP_050625291.1, SO:0001217, UniParc:UPI00067EA16B, UniRef:UniRef100_UPI00067EA16B, UniRef:UniRef50_UPI00067EA16B, UniRef:UniRef90_UPI00067EA16B
contig_1	353839	354012	-	NAPDKL_01750	6.7	5.2		RefSeq:WP_154669741.1, SO:0001217, UniParc:UPI000AC2D375, UniRef:UniRef100_UPI000AC2D375, UniRef:UniRef50_V2YFX3, UniRef:UniRef90_UPI000AC2D375
contig_1	357170	357610	-	NAPDKL_01775	16.8	7.7		RefSeq:WP_050625296.1, SO:0001217, UniParc:UPI00067EA118, UniRef:UniRef100_UPI00067EA118, UniRef:UniRef50_UPI00067EA118, UniRef:UniRef90_UPI00067EA118
contig_1	358015	358242	+	NAPDKL_01780	8.8	9.7		
contig_1	365444	365953	+	NAPDKL_01820	19.4	5.3		
contig_1	366522	366680	+	NAPDKL_01830	5.7	9.7		SO:0001217, UniRef:UniRef50_A0A9D2JJV6
contig_1	371041	371310	+	NAPDKL_01870	9.9	4.8		SO:0001217, UniRef:UniRef50_A0A1M6M367
contig_1	371995	372420	+	NAPDKL_01880	15.3	6.4		SO:0001217, UniRef:UniRef50_A0A1C6AHY4
contig_1	372413	372655	+	NAPDKL_01885	9.1	7.7		
contig_1	372652	372840	+	NAPDKL_01890	7.1	8.4		SO:0001217, UniRef:UniRef50_UPI001C0FEFF0
contig_1	373660	374085	+	NAPDKL_01900	15.7	10.6		
contig_1	374082	374555	+	NAPDKL_01905	17.7	9.0		
contig_1	382426	382812	+	NAPDKL_01960	13.8	4.9		SO:0001217, UniRef:UniRef50_A0A1M6M423
contig_1	382809	383246	+	NAPDKL_01965	17.0	5.0	PF20765.1|DUF6838	PFAM:PF20765.1, SO:0001217, UniRef:UniRef50_A0A1M6M466
contig_1	383246	383440	+	NAPDKL_01970	6.8	9.0		SO:0001217, UniRef:UniRef50_A0A1C6AJI0
contig_1	392617	392880	+	NAPDKL_02030	9.9	5.1		SO:0001217, UniRef:UniRef50_A0A1C6AKR3
contig_1	398936	399421	+	NAPDKL_02065	18.6	10.1		SO:0001217, UniRef:UniRef50_R6H5V4
contig_1	399455	400111	-	NAPDKL_02070	23.2	10.1		SO:0001217, UniRef:UniRef50_UPI001898AD3D
contig_1	400582	400794	+	NAPDKL_02080	7.6	10.5	PF01381.26|HTH_3, PF12844.11|HTH_19, PF13443.10|HTH_26, PF13560.10|HTH_31	PFAM:PF01381.26, PFAM:PF12844.11, PFAM:PF13443.10, PFAM:PF13560.10
contig_1	420457	420732	+	NAPDKL_02170	10.5	4.7		RefSeq:WP_133248255.1, SO:0001217, UniParc:UPI000AF818DB, UniRef:UniRef100_UPI000AF818DB, UniRef:UniRef50_UPI00265ACB21, UniRef:UniRef90_UPI00265ACB21
contig_1	426483	426893	-	NAPDKL_02205	13.5	8.8		SO:0001217, UniRef:UniRef50_UPI001B436411, UniRef:UniRef90_UPI001B436411
contig_1	435928	436404	-	NAPDKL_02260	18.3	8.3		SO:0001217, UniParc:UPI000D2882EB, UniRef:UniRef100_UPI000D2882EB, UniRef:UniRef50_UPI0023EF8799, UniRef:UniRef90_UPI0023EF8799
