#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	43526	43726	+	IDJGNL_00215	7.5	5.2		RefSeq:WP_256174564.1, SO:0001217, UniParc:UPI00210AC7D4, UniRef:UniRef100_UPI00210AC7D4, UniRef:UniRef50_UPI00210AC7D4, UniRef:UniRef90_UPI00210AC7D4
contig_1	51859	51978	-	IDJGNL_00250	4.7	10.3		
contig_1	53492	54043	+	IDJGNL_00260	21.6	6.7		RefSeq:WP_144232840.1, SO:0001217, UniParc:UPI0008234615, UniRef:UniRef100_A0A1C5XJJ8, UniRef:UniRef50_C9LBZ3, UniRef:UniRef90_C0D264
contig_1	78005	78151	+	IDJGNL_00375	5.8	11.7		RefSeq:WP_164488728.1, SO:0001217, UniParc:UPI0002F34A9A, UniRef:UniRef100_A0A8J6ME17, UniRef:UniRef50_A0A4R1QTW3, UniRef:UniRef90_A0A8J6ME17
contig_1	78508	78855	+	IDJGNL_00385	12.8	5.0		RefSeq:WP_243204625.1, SO:0001217, UniParc:UPI001FADD781, UniRef:UniRef100_UPI001FADD781, UniRef:UniRef50_A0A1C5XGS3, UniRef:UniRef90_A0A1C5XGS3
contig_1	84666	85511	+	IDJGNL_00430	31.1	4.7		RefSeq:WP_186906131.1, SO:0001217, UniParc:UPI00164BA80A, UniRef:UniRef100_A0A8J6JCI9, UniRef:UniRef50_A0A928IPA8, UniRef:UniRef90_C0D2C9
contig_1	87416	87859	+	IDJGNL_00450	16.7	4.9		RefSeq:WP_186906134.1, SO:0001217, UniParc:UPI00164CAF44, UniRef:UniRef100_A0A1C5XEQ5, UniRef:UniRef50_A0A096B973, UniRef:UniRef90_C0D2D5
contig_1	88911	89573	+	IDJGNL_00460	25.3	5.0		RefSeq:WP_186906136.1, SO:0001217, UniParc:UPI00164C03FF, UniRef:UniRef100_A0A8J6M7F7, UniRef:UniRef50_C0D2D8, UniRef:UniRef90_C0D2D8
contig_1	89533	89712	+	IDJGNL_00465	6.9	10.8		SO:0001217, UniParc:UPI000822D5AE, UniRef:UniRef100_A0A1C5XDV7, UniRef:UniRef50_C0D2D9, UniRef:UniRef90_C0D2D9
contig_1	162454	162678	-	IDJGNL_00845	8.5	6.0		RefSeq:WP_040411900.1, SO:0001217, UniParc:UPI00058BC498, UniRef:UniRef100_A0A1C5X6P9, UniRef:UniRef50_A0A1C5X6P9, UniRef:UniRef90_A0A1C5X6P9
contig_1	164773	165093	-	IDJGNL_00855	12.0	8.5		RefSeq:WP_186906181.1, SO:0001217, UniParc:UPI00164AA528, UniRef:UniRef100_A0A8J6IZB3, UniRef:UniRef50_C0D2R1, UniRef:UniRef90_C0D2R1
contig_1	165328	165810	-	IDJGNL_00865	19.2	9.1		RefSeq:WP_186906183.1, SO:0001217, UniParc:UPI00164B111E, UniRef:UniRef100_A0A8J6JBQ8, UniRef:UniRef50_A6NYZ3, UniRef:UniRef90_A0A1Y4SAM3
