#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	606	1139	-	ACLHAE_00005	20.1	6.2		
contig_4	1387	2403	+	ACLHAE_00040	39.6	6.0		RefSeq:WP_198286320.1, SO:0001217, UniParc:UPI0018DEE2D8, UniRef:UniRef100_A6P305, UniRef:UniRef50_A6P305, UniRef:UniRef90_A6P305
contig_6	847	1407	-	ACLHAE_00070	20.4	4.1		SO:0001217, UniParc:UPI0001570FAE, UniRef:UniRef100_A6P2Z6, UniRef:UniRef50_A6P2Z6, UniRef:UniRef90_A6P2Z6
contig_7	29	652	+	ACLHAE_00090	22.1	8.9		
contig_7	1756	2253	-	ACLHAE_00100	18.8	6.0		RefSeq:WP_006575317.1, SO:0001217, UniParc:UPI0001570FAA, UniRef:UniRef100_A6P2Z2, UniRef:UniRef50_A6P2Z2, UniRef:UniRef90_A6P2Z2
contig_10	5609	5887	+	ACLHAE_00230	10.2	4.9		RefSeq:WP_006575268.1, SO:0001217, UniParc:UPI0001570D46, UniRef:UniRef100_A6P2U3, UniRef:UniRef50_A0A844K3K6, UniRef:UniRef90_A6P2U3
contig_10	9304	9720	+	ACLHAE_00250	16.0	4.2		RefSeq:WP_040648037.1, SO:0001217, UniParc:UPI0002D98912, UniRef:UniRef100_A6P2U7, UniRef:UniRef50_A6P2U7, UniRef:UniRef90_A6P2U7
contig_11	12591	12731	+	ACLHAE_00375	5.1	9.2		RefSeq:WP_006575254.1, SO:0001217, UniParc:UPI0001570C1C, UniRef:UniRef100_A6P2S9, UniRef:UniRef50_A6P2S9, UniRef:UniRef90_A6P2S9
contig_11	13954	14271	+	ACLHAE_00385	12.6	5.7		SO:0001217, UniRef:UniRef50_UPI00261607A7
contig_12	7646	7801	-	ACLHAE_00435	6.1	5.6		RefSeq:WP_006575191.1, SO:0001217, UniParc:UPI0001570981, UniRef:UniRef100_A6P2L6, UniRef:UniRef50_A6P2L6, UniRef:UniRef90_A6P2L6
contig_12	22733	23275	-	ACLHAE_00515	19.4	4.7		SO:0001217, UniRef:UniRef50_A6P2N7, UniRef:UniRef90_A6P2N7
contig_12	23294	23914	-	ACLHAE_00520	23.0	6.1		SO:0001217, UniRef:UniRef50_A6P2N8, UniRef:UniRef90_A6P2N8
contig_14	55259	56212	+	ACLHAE_00885	37.5	7.7		RefSeq:WP_006575119.1, SO:0001217, UniParc:UPI00015718B2, UniRef:UniRef100_A6P2E0, UniRef:UniRef50_A6P2E0, UniRef:UniRef90_A6P2E0
contig_14	62699	63169	-	ACLHAE_00930	18.5	9.4		RefSeq:WP_006575128.1, SO:0001217, UniParc:UPI00015718BB, UniRef:UniRef100_A6P2E9, UniRef:UniRef50_A6P2E9, UniRef:UniRef90_A6P2E9
contig_14	87584	88243	-	ACLHAE_01030	25.3	9.2		SO:0001217, UniParc:UPI00015719E9, UniRef:UniRef100_A6P2I0, UniRef:UniRef50_A6P2I0, UniRef:UniRef90_A6P2I0
contig_18	19404	19676	-	ACLHAE_01365	10.1	4.6		SO:0001217, UniParc:UPI0001570F9D, UniRef:UniRef100_A6P1Y2, UniRef:UniRef50_A6P1Y2, UniRef:UniRef90_A6P1Y2
contig_18	19943	20251	+	ACLHAE_01370	11.7	9.6		
contig_18	28616	28891	+	ACLHAE_01400	10.2	8.7		
contig_18	47963	48055	+	ACLHAE_01510	3.3	5.5		SO:0001217, UniParc:UPI000821CF65, UniRef:UniRef100_A0A1C6B9V7, UniRef:UniRef50_A0A1C6B9V7, UniRef:UniRef90_A0A1C6B9V7
contig_19	373	2550	+	ACLHAE_01660	69.5	5.9		
contig_20	286	582	-	ACLHAE_01705	10.9	5.5		RefSeq:WP_006574689.1, SO:0001217, UniParc:UPI00015712FF, UniRef:UniRef100_A6P146, UniRef:UniRef50_A6P146, UniRef:UniRef90_A6P146
contig_20	10759	11811	+	ACLHAE_01740	39.4	4.6		RefSeq:WP_006574699.1, SO:0001217, UniParc:UPI000157140F, UniRef:UniRef100_A6P156, UniRef:UniRef50_A6P156, UniRef:UniRef90_A6P156
contig_20	14235	14348	-	ACLHAE_01755	4.1	10.4		SO:0001217, UniRef:UniRef50_A6P160, UniRef:UniRef90_A6P160
contig_20	30276	30389	+	ACLHAE_01825	4.0	10.4		SO:0001217, UniParc:UPI000157154C, UniRef:UniRef100_A6P180, UniRef:UniRef50_A6P180, UniRef:UniRef90_A6P180
