All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCA_000169255.2
# contigs (>= 0 bp)         65             
# contigs (>= 1000 bp)      63             
# contigs (>= 5000 bp)      42             
# contigs (>= 10000 bp)     35             
# contigs (>= 25000 bp)     30             
# contigs (>= 50000 bp)     25             
Total length (>= 0 bp)      4241076        
Total length (>= 1000 bp)   4239302        
Total length (>= 5000 bp)   4192800        
Total length (>= 10000 bp)  4136834        
Total length (>= 25000 bp)  4055658        
Total length (>= 50000 bp)  3853439        
# contigs                   65             
Largest contig              360228         
Total length                4241076        
GC (%)                      59.11          
N50                         157028         
N90                         55506          
auN                         185081.2       
L50                         9              
L90                         25             
# N's per 100 kbp           0.00           
